Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Postal Code,Product ID,Sales,Quantity,Discount,Profit,Unit Price
32,US-2021-150630,17-09-2021,21-09-2021,Standard Class,TB-21520,Consumer,19140,OFF-AR-10004042,86.3,6,0.2,9.71,14.38
33,US-2021-150630,17-09-2021,21-09-2021,Standard Class,TB-21520,Consumer,19140,OFF-BI-10001525,6.86,6,0.7,-5.72,1.14
34,US-2021-150630,17-09-2021,21-09-2021,Standard Class,TB-21520,Consumer,19140,OFF-AR-10001683,15.76,2,0.2,3.55,7.88
35,CA-2023-107727,19-10-2023,23-10-2023,Second Class,MA-17560,Home Office,77095,OFF-PA-10000249,29.47,3,0.2,9.95,9.82
36,CA-2022-117590,08-12-2022,10-12-2022,First Class,GH-14485,Corporate,75080,TEC-PH-10004977,1097.54,7,0.2,123.47,156.79
37,CA-2022-117590,08-12-2022,10-12-2022,First Class,GH-14485,Corporate,75080,FUR-FU-10003664,190.92,5,0.6,-147.96,38.18
38,CA-2021-117415,27-12-2021,31-12-2021,Standard Class,SN-20710,Home Office,77041,OFF-EN-10002986,113.33,9,0.2,35.42,12.59
39,CA-2021-117415,27-12-2021,31-12-2021,Standard Class,SN-20710,Home Office,77041,FUR-BO-10002545,532.4,3,0.32,-46.98,177.47
40,CA-2021-117415,27-12-2021,31-12-2021,Standard Class,SN-20710,Home Office,77041,FUR-CH-10004218,212.06,3,0.3,-15.15,70.69
41,CA-2021-117415,27-12-2021,31-12-2021,Standard Class,SN-20710,Home Office,77041,TEC-PH-10000486,371.17,4,0.2,41.76,92.79
42,CA-2023-120999,10-09-2023,15-09-2023,Standard Class,LC-16930,Corporate,60540,TEC-PH-10004093,147.17,4,0.2,16.56,36.79
43,CA-2022-101343,17-07-2022,22-07-2022,Standard Class,RA-19885,Corporate,90049,OFF-ST-10003479,77.88,2,0,3.89,38.94
44,CA-2023-139619,19-09-2023,23-09-2023,Standard Class,ES-14080,Corporate,32935,OFF-ST-10003282,95.62,2,0.2,9.56,47.81
45,CA-2022-118255,11-03-2022,13-03-2022,First Class,ON-18715,Corporate,55122,TEC-AC-10000171,45.98,2,0,19.77,22.99
46,CA-2022-118255,11-03-2022,13-03-2022,First Class,ON-18715,Corporate,55122,OFF-BI-10003291,17.46,2,0,8.21,8.73
47,CA-2020-146703,20-10-2020,25-10-2020,Second Class,PO-18865,Consumer,48185,OFF-ST-10001713,211.96,4,0,8.48,52.99
48,CA-2022-169194,20-06-2022,25-06-2022,Standard Class,LH-16900,Consumer,19901,TEC-AC-10002167,45,3,0,4.95,15
49,CA-2022-169194,20-06-2022,25-06-2022,Standard Class,LH-16900,Consumer,19901,TEC-PH-10003988,21.8,2,0,6.1,10.9
50,CA-2021-115742,18-04-2021,22-04-2021,Standard Class,DP-13000,Consumer,47150,OFF-BI-10004410,38.22,6,0,17.96,6.37
51,CA-2021-115742,18-04-2021,22-04-2021,Standard Class,DP-13000,Consumer,47150,OFF-LA-10002762,75.18,6,0,35.33,12.53
52,CA-2021-115742,18-04-2021,22-04-2021,Standard Class,DP-13000,Consumer,47150,FUR-FU-10001706,6.16,2,0,2.96,3.08
53,CA-2021-115742,18-04-2021,22-04-2021,Standard Class,DP-13000,Consumer,47150,FUR-CH-10003061,89.99,1,0,17.1,89.99
54,CA-2022-105816,11-12-2022,17-12-2022,Standard Class,JM-15265,Corporate,10024,OFF-FA-10000304,15.26,7,0,6.26,2.18
55,CA-2022-105816,11-12-2022,17-12-2022,Standard Class,JM-15265,Corporate,10024,TEC-PH-10002447,1029.95,5,0,298.69,205.99
56,CA-2022-111682,17-06-2022,18-06-2022,First Class,TB-21055,Consumer,12180,OFF-ST-10000604,208.56,6,0,52.14,34.76
57,CA-2022-111682,17-06-2022,18-06-2022,First Class,TB-21055,Consumer,12180,OFF-PA-10001569,32.4,5,0,15.55,6.48
58,CA-2022-111682,17-06-2022,18-06-2022,First Class,TB-21055,Consumer,12180,FUR-CH-10003968,319.41,5,0.1,7.1,63.88
59,CA-2022-111682,17-06-2022,18-06-2022,First Class,TB-21055,Consumer,12180,OFF-PA-10000587,14.56,2,0,6.99,7.28
60,CA-2022-111682,17-06-2022,18-06-2022,First Class,TB-21055,Consumer,12180,TEC-AC-10002167,30,2,0,3.3,15
61,CA-2022-111682,17-06-2022,18-06-2022,First Class,TB-21055,Consumer,12180,OFF-BI-10001460,48.48,4,0.2,16.36,12.12
62,CA-2022-111682,17-06-2022,18-06-2022,First Class,TB-21055,Consumer,12180,OFF-AR-10001868,1.68,1,0,0.84,1.68
63,CA-2021-135545,24-11-2021,30-11-2021,Standard Class,KM-16720,Consumer,90004,TEC-AC-10004633,13.98,2,0,6.15,6.99
64,CA-2021-135545,24-11-2021,30-11-2021,Standard Class,KM-16720,Consumer,90004,OFF-BI-10001078,25.82,6,0.2,9.36,4.3
65,CA-2021-135545,24-11-2021,30-11-2021,Standard Class,KM-16720,Consumer,90004,OFF-PA-10003892,146.73,3,0,68.96,48.91
66,CA-2021-135545,24-11-2021,30-11-2021,Standard Class,KM-16720,Consumer,90004,FUR-FU-10000397,79.76,4,0,22.33,19.94
67,US-2021-164175,30-04-2021,05-05-2021,Standard Class,PS-18970,Home Office,60610,FUR-CH-10001146,213.12,5,0.3,-15.22,42.62
68,CA-2020-106376,05-12-2020,10-12-2020,Standard Class,BS-11590,Corporate,85234,OFF-AR-10002671,1113.02,8,0.2,111.3,139.13
69,CA-2020-106376,05-12-2020,10-12-2020,Standard Class,BS-11590,Corporate,85234,TEC-PH-10002726,167.97,4,0.2,62.99,41.99
70,CA-2022-119823,04-06-2022,06-06-2022,First Class,KD-16270,Consumer,22153,OFF-PA-10000482,75.88,2,0,35.66,37.94
71,CA-2022-106075,18-09-2022,23-09-2022,Standard Class,HM-14980,Consumer,10009,OFF-BI-10004654,4.62,1,0.2,1.73,4.62
72,CA-2023-114440,14-09-2023,17-09-2023,Second Class,TB-21520,Consumer,49201,OFF-PA-10004675,19.05,3,0,8.76,6.35
73,US-2021-134026,26-04-2021,02-05-2021,Standard Class,JE-15745,Consumer,38109,FUR-CH-10000513,831.94,8,0.2,-114.39,103.99
74,US-2021-134026,26-04-2021,02-05-2021,Standard Class,JE-15745,Consumer,38109,FUR-FU-10003708,97.04,2,0.2,1.21,48.52
75,US-2021-134026,26-04-2021,02-05-2021,Standard Class,JE-15745,Consumer,38109,OFF-ST-10004123,72.78,1,0.2,-18.2,72.78
76,US-2023-118038,09-12-2023,11-12-2023,First Class,KB-16600,Corporate,77041,OFF-BI-10004182,1.25,3,0.8,-1.93,0.42
77,US-2023-118038,09-12-2023,11-12-2023,First Class,KB-16600,Corporate,77041,FUR-FU-10000260,9.71,3,0.6,-5.82,3.24
78,US-2023-118038,09-12-2023,11-12-2023,First Class,KB-16600,Corporate,77041,OFF-ST-10000615,27.24,3,0.2,2.72,9.08
79,US-2020-147606,26-11-2020,01-12-2020,Second Class,JE-15745,Consumer,77070,FUR-FU-10003194,19.3,5,0.6,-14.48,3.86
80,CA-2022-127208,12-06-2022,15-06-2022,First Class,SC-20770,Corporate,35601,OFF-AP-10002118,208.16,1,0,56.2,208.16
81,CA-2022-127208,12-06-2022,15-06-2022,First Class,SC-20770,Corporate,35601,OFF-BI-10002309,16.74,3,0,8.04,5.58
82,CA-2020-139451,12-10-2020,16-10-2020,Standard Class,DN-13690,Consumer,94122,OFF-AR-10002053,14.9,5,0,4.17,2.98
83,CA-2020-139451,12-10-2020,16-10-2020,Standard Class,DN-13690,Consumer,94122,OFF-ST-10002370,21.39,1,0,6.2,21.39
84,CA-2021-149734,03-09-2021,08-09-2021,Standard Class,JC-16105,Corporate,27707,OFF-EN-10000927,200.98,7,0.2,62.81,28.71
85,US-2023-119662,13-11-2023,16-11-2023,First Class,CS-12400,Home Office,60623,OFF-ST-10003656,230.38,3,0.2,-48.95,76.79
86,CA-2023-140088,28-05-2023,30-05-2023,Second Class,PO-18865,Consumer,29203,FUR-CH-10000863,301.96,2,0,33.22,150.98
87,CA-2023-155558,26-10-2023,02-11-2023,Standard Class,PG-18895,Consumer,55901,TEC-AC-10001998,19.99,1,0,6.8,19.99
88,CA-2023-155558,26-10-2023,02-11-2023,Standard Class,PG-18895,Consumer,55901,OFF-LA-10000134,6.16,2,0,2.96,3.08
89,CA-2022-159695,05-04-2022,10-04-2022,Second Class,GM-14455,Home Office,77095,OFF-ST-10003442,158.37,7,0.2,13.86,22.62
90,CA-2022-109806,17-09-2022,22-09-2022,Standard Class,JS-15685,Corporate,90036,OFF-AR-10004930,20.1,3,0,6.63,6.7
91,CA-2022-109806,17-09-2022,22-09-2022,Standard Class,JS-15685,Corporate,90036,TEC-PH-10004093,73.58,2,0.2,8.28,36.79
92,CA-2022-109806,17-09-2022,22-09-2022,Standard Class,JS-15685,Corporate,90036,OFF-PA-10000304,6.48,1,0,3.11,6.48
93,CA-2021-149587,31-01-2021,05-02-2021,Second Class,KB-16315,Consumer,55407,OFF-PA-10003177,12.96,2,0,6.22,6.48
94,CA-2021-149587,31-01-2021,05-02-2021,Second Class,KB-16315,Consumer,55407,FUR-FU-10003799,53.34,3,0,16.54,17.78
95,CA-2021-149587,31-01-2021,05-02-2021,Second Class,KB-16315,Consumer,55407,OFF-BI-10002852,32.96,2,0,16.15,16.48
96,US-2023-109484,06-11-2023,12-11-2023,Standard Class,RB-19705,Home Office,97206,OFF-BI-10004738,5.68,1,0.7,-3.79,5.68
97,CA-2023-161018,09-11-2023,11-11-2023,Second Class,PN-18775,Home Office,10009,FUR-FU-10000629,96.53,7,0,40.54,13.79
98,CA-2023-157833,17-06-2023,20-06-2023,First Class,KD-16345,Consumer,94122,OFF-BI-10001721,51.31,3,0.2,17.96,17.1
99,CA-2022-149223,06-09-2022,11-09-2022,Standard Class,ER-13855,Corporate,55106,OFF-AP-10000358,77.88,6,0,22.59,12.98
100,CA-2022-158568,29-08-2022,02-09-2022,Standard Class,RB-19465,Home Office,60610,OFF-PA-10003256,64.62,7,0.2,22.62,9.23
101,CA-2022-158568,29-08-2022,02-09-2022,Standard Class,RB-19465,Home Office,60610,TEC-AC-10001767,95.98,3,0.2,-10.8,31.99
102,CA-2022-158568,29-08-2022,02-09-2022,Standard Class,RB-19465,Home Office,60610,OFF-BI-10002609,1.79,3,0.8,-3.04,0.6
103,CA-2022-129903,01-12-2022,04-12-2022,Second Class,GZ-14470,Consumer,55901,OFF-PA-10004040,23.92,4,0,11.72,5.98
104,US-2021-156867,13-11-2021,17-11-2021,Standard Class,LC-16870,Consumer,80013,TEC-AC-10001552,238.9,6,0.2,-26.88,39.82
105,US-2021-156867,13-11-2021,17-11-2021,Standard Class,LC-16870,Consumer,80013,FUR-FU-10004006,102.36,3,0.2,-3.84,34.12
106,US-2021-156867,13-11-2021,17-11-2021,Standard Class,LC-16870,Consumer,80013,OFF-BI-10002794,36.88,3,0.7,-25.82,12.29
107,CA-2023-119004,23-11-2023,28-11-2023,Standard Class,JM-15250,Consumer,28205,TEC-AC-10003499,74.11,8,0.2,17.6,9.26
108,CA-2023-119004,23-11-2023,28-11-2023,Standard Class,JM-15250,Consumer,28205,TEC-PH-10002844,27.99,1,0.2,2.1,27.99
109,CA-2023-119004,23-11-2023,28-11-2023,Standard Class,JM-15250,Consumer,28205,OFF-AR-10000390,3.3,1,0.2,1.07,3.3
110,CA-2021-129476,15-10-2021,20-10-2021,Standard Class,PA-19060,Home Office,60462,TEC-AC-10000844,339.96,5,0.2,67.99,67.99
111,CA-2023-146780,25-12-2023,30-12-2023,Standard Class,CV-12805,Corporate,10035,FUR-FU-10001934,41.96,2,0,10.91,20.98
112,CA-2022-128867,03-11-2022,10-11-2022,Standard Class,CL-12565,Consumer,50322,OFF-AR-10000380,75.96,2,0,22.79,37.98
113,CA-2022-128867,03-11-2022,10-11-2022,Standard Class,CL-12565,Consumer,50322,OFF-BI-10003981,27.24,6,0,13.35,4.54
114,CA-2020-115259,25-08-2020,27-08-2020,Second Class,RC-19960,Consumer,43229,OFF-FA-10000621,40.1,14,0.2,14.53,2.86
115,CA-2020-115259,25-08-2020,27-08-2020,Second Class,RC-19960,Consumer,43229,OFF-EN-10002600,4.72,2,0.2,1.65,2.36
116,CA-2020-115259,25-08-2020,27-08-2020,Second Class,RC-19960,Consumer,43229,OFF-PA-10004965,23.98,3,0.2,7.49,7.99
117,CA-2020-115259,25-08-2020,27-08-2020,Second Class,RC-19960,Consumer,43229,OFF-EN-10002504,130.46,6,0.2,44.03,21.74
118,CA-2021-110457,02-03-2021,06-03-2021,Standard Class,DK-13090,Consumer,98103,FUR-TA-10001768,787.53,3,0,165.38,262.51
119,US-2021-136476,05-04-2021,10-04-2021,Standard Class,GG-14650,Corporate,37620,OFF-BI-10003650,157.79,1,0.7,-115.72,157.79
120,CA-2022-103730,12-06-2022,15-06-2022,First Class,SC-20725,Consumer,19805,FUR-FU-10002157,47.04,3,0,18.35,15.68
121,CA-2022-103730,12-06-2022,15-06-2022,First Class,SC-20725,Consumer,19805,OFF-BI-10003910,30.84,4,0,13.88,7.71
122,CA-2022-103730,12-06-2022,15-06-2022,First Class,SC-20725,Consumer,19805,OFF-ST-10000777,226.56,6,0,63.44,37.76
123,CA-2022-103730,12-06-2022,15-06-2022,First Class,SC-20725,Consumer,19805,OFF-EN-10002500,115.02,9,0,51.76,12.78
124,CA-2022-103730,12-06-2022,15-06-2022,First Class,SC-20725,Consumer,19805,TEC-PH-10003875,68.04,7,0,19.73,9.72
125,US-2020-152030,26-12-2020,28-12-2020,Second Class,AD-10180,Home Office,77041,FUR-CH-10004063,600.56,3,0.3,-8.58,200.19
126,US-2020-134614,20-09-2020,25-09-2020,Standard Class,PF-19165,Consumer,61701,FUR-TA-10004534,617.7,6,0.5,-407.68,102.95
127,US-2023-107272,05-11-2023,12-11-2023,Standard Class,TS-21610,Consumer,85023,OFF-BI-10003274,2.39,2,0.7,-1.83,1.19
128,US-2023-107272,05-11-2023,12-11-2023,Standard Class,TS-21610,Consumer,85023,OFF-ST-10002974,243.99,7,0.2,30.5,34.86
129,US-2022-125969,06-11-2022,10-11-2022,Second Class,LS-16975,Home Office,90004,FUR-CH-10001146,81.42,2,0.2,-9.16,40.71
130,US-2022-125969,06-11-2022,10-11-2022,Second Class,LS-16975,Home Office,90004,FUR-FU-10003773,238.56,3,0,26.24,79.52
131,US-2023-164147,02-02-2023,05-02-2023,First Class,DW-13585,Corporate,43229,TEC-PH-10002293,59.97,5,0.4,-11.99,11.99
132,US-2023-164147,02-02-2023,05-02-2023,First Class,DW-13585,Corporate,43229,OFF-PA-10002377,78.3,2,0.2,29.36,39.15
133,US-2023-164147,02-02-2023,05-02-2023,First Class,DW-13585,Corporate,43229,OFF-FA-10002780,21.46,9,0.2,6.97,2.38
134,CA-2022-145583,13-10-2022,19-10-2022,Standard Class,LC-16885,Consumer,95661,OFF-PA-10001804,20.04,3,0,9.62,6.68
135,CA-2022-145583,13-10-2022,19-10-2022,Standard Class,LC-16885,Consumer,95661,OFF-PA-10001736,35.44,1,0,16.66,35.44
136,CA-2022-145583,13-10-2022,19-10-2022,Standard Class,LC-16885,Consumer,95661,OFF-AR-10001149,11.52,4,0,3.46,2.88
137,CA-2022-145583,13-10-2022,19-10-2022,Standard Class,LC-16885,Consumer,95661,OFF-FA-10002988,4.02,2,0,1.97,2.01
138,CA-2022-145583,13-10-2022,19-10-2022,Standard Class,LC-16885,Consumer,95661,OFF-BI-10004781,76.18,3,0.2,26.66,25.39
139,CA-2022-145583,13-10-2022,19-10-2022,Standard Class,LC-16885,Consumer,95661,OFF-SU-10001218,65.88,6,0,18.45,10.98
140,CA-2022-145583,13-10-2022,19-10-2022,Standard Class,LC-16885,Consumer,95661,FUR-FU-10001706,43.12,14,0,20.7,3.08
141,CA-2022-110366,05-09-2022,07-09-2022,Second Class,JD-15895,Corporate,19140,FUR-FU-10004848,82.8,2,0.2,10.35,41.4
142,CA-2023-106180,18-09-2023,23-09-2023,Standard Class,SH-19975,Corporate,94122,OFF-AR-10000940,8.82,3,0,2.38,2.94
143,CA-2023-106180,18-09-2023,23-09-2023,Standard Class,SH-19975,Corporate,94122,OFF-EN-10004030,10.86,3,0,5.1,3.62
144,CA-2023-106180,18-09-2023,23-09-2023,Standard Class,SH-19975,Corporate,94122,OFF-PA-10004327,143.7,3,0,68.98,47.9
145,CA-2023-155376,22-12-2023,27-12-2023,Standard Class,SG-20080,Consumer,64055,OFF-AP-10001058,839.43,3,0,218.25,279.81
146,CA-2021-110744,07-09-2021,12-09-2021,Standard Class,HA-14920,Consumer,91104,OFF-ST-10003656,671.93,7,0,20.16,95.99
147,CA-2020-110072,22-10-2020,28-10-2020,Standard Class,MG-17680,Home Office,43055,FUR-FU-10000521,93.89,4,0.2,12.91,23.47
148,CA-2022-114489,05-12-2022,09-12-2022,Standard Class,JE-16165,Corporate,53132,TEC-PH-10000215,384.45,11,0,103.8,34.95
149,CA-2022-114489,05-12-2022,09-12-2022,Standard Class,JE-16165,Corporate,53132,TEC-PH-10001448,149.97,3,0,6,49.99
150,CA-2022-114489,05-12-2022,09-12-2022,Standard Class,JE-16165,Corporate,53132,FUR-CH-10000454,1951.84,8,0,585.55,243.98
151,CA-2022-114489,05-12-2022,09-12-2022,Standard Class,JE-16165,Corporate,53132,OFF-BI-10002735,171.55,5,0,80.63,34.31
152,CA-2022-158834,13-03-2022,16-03-2022,First Class,TW-21025,Home Office,85254,OFF-AP-10000326,157.92,5,0.2,17.77,31.58
153,CA-2022-158834,13-03-2022,16-03-2022,First Class,TW-21025,Home Office,85254,TEC-PH-10001254,203.18,2,0.2,15.24,101.59
154,CA-2021-124919,31-05-2021,02-06-2021,First Class,SP-20650,Corporate,95123,OFF-PA-10001950,58.38,7,0,26.27,8.34
155,CA-2021-124919,31-05-2021,02-06-2021,First Class,SP-20650,Corporate,95123,OFF-PA-10002254,105.52,4,0,48.54,26.38
156,CA-2021-124919,31-05-2021,02-06-2021,First Class,SP-20650,Corporate,95123,OFF-ST-10001590,80.88,6,0,21.03,13.48
157,CA-2021-118948,28-05-2021,03-06-2021,Standard Class,NK-18490,Home Office,98105,OFF-AR-10001547,6.63,3,0,1.79,2.21
158,CA-2020-104269,01-03-2020,06-03-2020,Second Class,DB-13060,Consumer,98115,FUR-CH-10004063,457.57,2,0.2,51.48,228.78
159,CA-2022-114104,20-11-2022,24-11-2022,Standard Class,NP-18670,Consumer,73034,OFF-LA-10002475,14.62,2,0,6.87,7.31
160,CA-2022-114104,20-11-2022,24-11-2022,Standard Class,NP-18670,Consumer,73034,TEC-PH-10004536,944.93,7,0,236.23,134.99
161,CA-2022-162733,11-05-2022,12-05-2022,First Class,TT-21070,Consumer,90045,OFF-PA-10002751,5.98,1,0,2.69,5.98
162,CA-2021-119697,28-12-2021,31-12-2021,Second Class,EM-13960,Consumer,19134,TEC-AC-10003657,54.38,2,0.2,1.36,27.19
163,CA-2022-154508,16-11-2022,20-11-2022,Standard Class,RD-19900,Consumer,88220,OFF-EN-10001990,28.4,5,0,13.35,5.68
164,CA-2022-113817,07-11-2022,11-11-2022,Standard Class,MJ-17740,Consumer,98115,OFF-BI-10004002,27.68,2,0.2,9.69,13.84
165,CA-2020-139892,08-09-2020,12-09-2020,Standard Class,BM-11140,Consumer,78207,OFF-AR-10004441,9.94,3,0.2,2.73,3.31
166,CA-2020-139892,08-09-2020,12-09-2020,Standard Class,BM-11140,Consumer,78207,TEC-MA-10000822,8159.95,8,0.4,-1359.99,1019.99
167,CA-2020-139892,08-09-2020,12-09-2020,Standard Class,BM-11140,Consumer,78207,OFF-ST-10000991,275.93,3,0.2,-58.63,91.98
168,CA-2020-139892,08-09-2020,12-09-2020,Standard Class,BM-11140,Consumer,78207,FUR-CH-10004287,1740.06,9,0.3,-24.86,193.34
169,CA-2020-139892,08-09-2020,12-09-2020,Standard Class,BM-11140,Consumer,78207,OFF-AR-10002656,32.06,6,0.2,6.81,5.34
170,CA-2020-139892,08-09-2020,12-09-2020,Standard Class,BM-11140,Consumer,78207,OFF-AP-10002518,177.98,5,0.8,-453.85,35.6
171,CA-2020-139892,08-09-2020,12-09-2020,Standard Class,BM-11140,Consumer,78207,TEC-PH-10003931,143.98,3,0.2,9,47.99
172,CA-2020-118962,05-08-2020,09-08-2020,Standard Class,CS-12130,Consumer,90004,OFF-PA-10000659,20.94,3,0,9.84,6.98
173,CA-2020-118962,05-08-2020,09-08-2020,Standard Class,CS-12130,Consumer,90004,OFF-PA-10001144,110.96,2,0,53.26,55.48
174,CA-2020-118962,05-08-2020,09-08-2020,Standard Class,CS-12130,Consumer,90004,FUR-CH-10003817,340.14,7,0.2,21.26,48.59
175,US-2020-100853,14-09-2020,19-09-2020,Standard Class,JB-15400,Corporate,60623,OFF-AP-10000891,52.45,2,0.8,-131.12,26.22
176,US-2020-100853,14-09-2020,19-09-2020,Standard Class,JB-15400,Corporate,60623,OFF-LA-10003148,20.16,4,0.2,6.55,5.04
177,US-2023-152366,21-04-2023,25-04-2023,Second Class,SJ-20500,Consumer,77036,OFF-AP-10002684,97.26,4,0.8,-243.16,24.32
178,US-2021-101511,21-11-2021,23-11-2021,Second Class,JE-15745,Consumer,43055,FUR-CH-10004698,396.8,7,0.3,-11.34,56.69
179,US-2021-101511,21-11-2021,23-11-2021,Second Class,JE-15745,Consumer,43055,OFF-SU-10002189,15.88,5,0.2,-3.77,3.18
180,CA-2021-137225,15-12-2021,19-12-2021,Standard Class,JK-15640,Home Office,10009,OFF-AR-10001940,3.28,1,0,1.41,3.28
181,CA-2020-166191,05-12-2020,09-12-2020,Second Class,DK-13150,Corporate,62521,OFF-ST-10003455,24.82,2,0.2,1.86,12.41
182,CA-2020-166191,05-12-2020,09-12-2020,Second Class,DK-13150,Corporate,62521,TEC-AC-10004659,408.74,7,0.2,76.64,58.39
183,CA-2020-158274,19-11-2020,24-11-2020,Second Class,RM-19675,Home Office,71203,TEC-PH-10003273,503.96,4,0,131.03,125.99
184,CA-2020-158274,19-11-2020,24-11-2020,Second Class,RM-19675,Home Office,71203,TEC-PH-10004896,149.95,5,0,41.99,29.99
185,CA-2020-158274,19-11-2020,24-11-2020,Second Class,RM-19675,Home Office,71203,TEC-AC-10002345,29,2,0,7.25,14.5
186,CA-2022-105018,28-11-2022,02-12-2022,Standard Class,SK-19990,Consumer,6824,OFF-BI-10001890,7.16,2,0,3.44,3.58
187,CA-2020-123260,26-08-2020,30-08-2020,Standard Class,FM-14290,Home Office,90032,TEC-AC-10002323,176.8,8,0,22.98,22.1
188,CA-2022-157000,16-07-2022,22-07-2022,Standard Class,AM-10360,Corporate,75051,OFF-ST-10001328,37.22,3,0.2,3.72,12.41
189,CA-2022-157000,16-07-2022,22-07-2022,Standard Class,AM-10360,Corporate,75051,OFF-PA-10001950,20.02,3,0.2,6.26,6.67
190,CA-2021-102281,12-10-2021,14-10-2021,First Class,MP-17470,Home Office,10035,FUR-BO-10002613,899.14,4,0.2,112.39,224.78
191,CA-2021-102281,12-10-2021,14-10-2021,First Class,MP-17470,Home Office,10035,TEC-PH-10001552,71.76,6,0,20.09,11.96
